seller,product_count,avg_rate,total_reviews
چهارشنبه بازار,33,73.75757575757575,8010
سریتا طب,65,73.72307692307692,2490
چرما اسپرت,28,73.71428571428571,1278
گالری کهن,209,73.71291866028709,30086
طوطی دیزاین,41,73.70731707317073,1437
گالری تکچین کالا,47,73.70212765957447,992
سهندگالری,32,73.6875,223
سون گام,598,73.66555183946488,37098
جانان مد,22,73.63636363636364,11348
گالری کلبه بلوط,37,73.62162162162163,195
مانترا مارکت,56,73.57142857142857,2151
ایران نخ باف,297,73.52861952861953,15412
گلدن کالا,79,73.51898734177215,1696
انتشارات صفار,137,73.48905109489051,1225
مارکت تهران,46,73.47826086956522,807
بست بای اورجینال,158,73.46835443037975,2038
آرشا مارک,263,73.4448669201521,3543
سرو طلایی,50,73.44,3171
پوشاک نجبا,25,73.44,1608
 یاقوت گستر پارس,21,73.42857142857143,191
بازرگانی فارس,276,73.39855072463769,52531
فانتزی باز,268,73.36567164179104,3857
پخش پرواز,113,73.34513274336283,13854
انگلیش لند,135,73.33333333333333,1104
ناستالیا,24,73.33333333333333,425
بابانوئل لند,28,73.28571428571429,3131
میلان استور,25,73.28,692
پخش سلسله مهر,603,73.27694859038142,18178
نیلوفر مارکت,43,73.25581395348837,12997
رامان هوم,21,73.23809523809524,464
لاولی لایف,73,73.23287671232876,21659
اکسسوری زرق و برق,23,73.21739130434783,379
جوراب ونیز,40,73.2,458
جوراب آکام,79,73.16455696202532,5058
انتشارات برف,179,73.15083798882682,2785
بازارتحریر,28,73.14285714285714,6857
اسمارت سولوشن,88,73.13636363636364,8067
بهداشتی اصیل,50,73.12,5317
آراکالا,29,73.10344827586206,547
چلیپا گروپ,62,73.09677419354838,3371
رویای سلامت,39,73.07692307692308,393
فروشگاه روژ,23,73.04347826086956,1045
لوازم آرایشی صاد,28,73.0,1333
محصولات آبگینه,30,73.0,1320
ایرانکتاب,1756,72.9886104783599,36422
 سی سی,160,72.9625,18241
بارلی سنتر,57,72.94736842105263,1521
تاج پلاس,43,72.88372093023256,520
پخش خرازی ماهور,39,72.87179487179488,2170
رنگساژ,51,72.86274509803921,820
فروشگاه بانیبو,263,72.80608365019012,10600
بهین تک,25,72.8,496
رفیق,35,72.8,2275
ویهان لند,46,72.78260869565217,4610
صنایع نوین آروند,70,72.77142857142857,6239
پوشاک کوروش,42,72.76190476190476,1289
ایزدمهر آریا,87,72.75862068965517,6580
زود دارو,32,72.6875,3903
لناشاپ,67,72.68656716417911,4362
کیان افزار,41,72.63414634146342,7471
بلک تام کت,325,72.58461538461539,15168
مدیکال,78,72.56410256410257,11981
گالری ساعت ساز,25,72.56,5251
دیزاس,24,72.5,401
بیزآرت مارکت,39,72.46153846153847,724
آرایشی بهداشتی دومان,94,72.38297872340425,457
النا بیوتی,53,72.37735849056604,6162
فاضل مدیا,55,72.36363636363636,1112
چرم جانتا,23,72.34782608695652,5645
الماس تجارت آسیا,113,72.33628318584071,23748
برزمهر,122,72.32786885245902,3910
ژیمن,342,72.32163742690058,13538
ارمغان بوک,91,72.28571428571429,3305
