category1,product_count,avg_price,price_stddev,coeff_of_variation
سازهای کوبه‌ای,276,63588473,94643892.14526364,1.49
صابون شستشو,1172,1025365,1529598.1401064557,1.49
لوازم تعویض,1527,2342290,3436296.8453856343,1.47
سازهای زهی,523,76306222,109632009.48843357,1.44
بهداشت و سلامت کودک,567,2016918,2903338.2155609312,1.44
ظروف سنتی,424,3408461,4887372.367102026,1.43
آرایش صورت,4282,4309995,6139064.923242669,1.42
موکت,53,9347924,13276300.690804498,1.42
رومیزی، رانر و زیربشقابی سنتی,41,7662685,10706616.57148422,1.4
مد و پوشاک دخترانه و پسرانه,13218,2726773,3830786.6629776945,1.4
چرخ خیاطی دستی و ملزومات خیاطی,339,751695,1050773.1936717397,1.4
اکسسوری ورزشی,1803,1738515,2419444.397697485,1.39
کفش زنانه,14794,10762192,14817683.777089939,1.38
کتاب چاپی غیر فارسی,31791,2774111,3829353.691275401,1.38
کفش مردانه,14632,14716885,20139275.33588003,1.37
لوازم پزشکی,36,25581508,35019723.88990749,1.37
ساک لوازم کودک و نوزاد,445,5640794,7444752.834814749,1.32
قاشق، چنگال و ظروف کودک و نوزاد,1537,1893162,2507246.7752946983,1.32
ویلچر,48,119542297,155803408.00203952,1.3
کمک آموزشی تحصیلی,346,2027230,2618171.3329347176,1.29
اصلاح موی سر,599,18718811,24023298.318364095,1.28
سلامت محیط,3705,41589579,53058919.0727154,1.28
آموزش موسیقی,136,2286838,2909671.48831868,1.27
آبسلانگ,30,822990,1044298.8766103578,1.27
اتو و حالت دهنده ی مو,691,14898796,18746165.261711024,1.26
خوار و بار محلی,411,5716805,7218640.9841411635,1.26
دست بافته‌ ها، رودوزی و محصولات پارچه ای و چرمی,14767,3896274,4889690.096142601,1.25
دخترانه,35259,2162988,2694765.021082226,1.25
باند و گاز,315,1280570,1591056.6466107657,1.24
کتاب صوتی,112,921098,1146671.9722260043,1.24
ساپورت های طبی,2030,3022474,3747175.958985536,1.24
لباس زنانه,77924,4044168,4925909.948308695,1.22
کالسکه و کریر,428,40174407,49104864.851108775,1.22
دستکش‌های طبی,219,2520150,3055474.86647607,1.21
ورزش های هوازی و تناسب اندام,1150,4110727,4973951.682466463,1.21
موسیقی با کلام,1137,1227088,1455085.6180920464,1.19
گلیم و گبه,1470,100320618,118414049.67313653,1.18
شیردوش,92,23936618,28322109.2707242,1.18
زیراندازهای طبی و پزشکی,102,2082423,2419081.8312272034,1.16
کالای خواب و استراحت طبی,765,7130088,8239211.731169155,1.16
پسرانه,21134,2658057,3070649.525945071,1.16
نقاشی و دست‌نوشته‌های هنری,246,10090081,11532232.30923569,1.14
لباس سنتی و محلی,92,5627180,6366286.00896666,1.13
