seller,total_products,fake_count,fake_percent
اینفوریا,154,11,7.14
شووالین,71,5,7.04
آیتوک شاپ,100,7,7.0
رواق فیروزه ای,43,3,6.98
فروشگاه پوشاک انسی,215,15,6.98
نی نی روم,475,33,6.95
آی کو,29,2,6.9
گالری رامش,29,2,6.9
نوین تجارت خوزستان,29,2,6.9
تولیدی نکسون,29,2,6.9
کارناوال کلاه,73,5,6.85
نظایر,44,3,6.82
نانوبازار,59,4,6.78
شامار پوش,59,4,6.78
خانه  آشپزخانه,119,8,6.72
گالری ساعت کارن,30,2,6.67
کبریت نقره ای,45,3,6.67
گالری ساعت زیگو,30,2,6.67
شاپ آرین,30,2,6.67
روتا,30,2,6.67
تحریر پیکاسو,30,2,6.67
پخش کوروش کمپ,121,8,6.61
فروشگاه بزرگ پاسارگاد ,76,5,6.58
زودیکا,534,35,6.55
مزون بهپوشان,46,3,6.52
گروه تجاری نوین جامه,92,6,6.52
بهار گالری,292,19,6.51
کیمیانت فام,31,2,6.45
پویا بوتیک,31,2,6.45
ژینو پوشاک,31,2,6.45
ست کالکشن,31,2,6.45
بازرگانی تاس,140,9,6.43
پوشاک تاپ لند,126,8,6.35
گالری شوکران ,126,8,6.35
پژواک,221,14,6.33
مزون ماه پوش,32,2,6.25
موکا شاپ,64,4,6.25
می ما ,48,3,6.25
تن تاب نرجه,32,2,6.25
پوشاک برتر علی,48,3,6.25
توزیع کالا نوید,32,2,6.25
فروشگاه استوک اروپایی,32,2,6.25
نایس لند,32,2,6.25
الماس تجارت آسیا,113,7,6.19
کیدزبیبی,226,14,6.19
بی اس دی شاپ,211,13,6.16
پخش بنفشه,49,3,6.12
کالا سنتر,752,46,6.12
مرکزمد,49,3,6.12
عینک بینش,885,54,6.1
سپنتا استور,115,7,6.09
گالری شعله,33,2,6.06
مودامو,33,2,6.06
بلوط صورتی,83,5,6.02
پوشاک گل آرا,249,15,6.02
بازرگانی ژومانیز,67,4,5.97
فنیلوکس,34,2,5.88
بن سل,34,2,5.88
جینجرکلاب,51,3,5.88
رخشان,153,9,5.88
کالدرا,51,3,5.88
من و شما,86,5,5.81
عصر بازی ,602,35,5.81
پخش آرشین,138,8,5.8
گالری اونیکس گلد,52,3,5.77
هایپر اکو,52,3,5.77
تاب طره,243,14,5.76
نی نی پاپی,105,6,5.71
کفش رشد,70,4,5.71
گالری هستی,88,5,5.68
گیسا آرت,88,5,5.68
دیزد,265,15,5.66
گیسوی بهار,161,9,5.59
عقیق اصل,269,15,5.58
ماهان آرایش,90,5,5.56
سمین شاپ,36,2,5.56
نگاریا,90,5,5.56
نگین چرم کیا,72,4,5.56
تری لیوم,36,2,5.56
آبا فن آوران,36,2,5.56
استانبول دات کام,343,19,5.54
لناسنتر,494,27,5.47
اورمان دنیز,55,3,5.45
ممتاز گرافیک,405,22,5.43
طلاب جانبی,516,28,5.43
سنتر تهران,93,5,5.38
گالری سل آواز,56,3,5.36
فروشگاه پریزاد,131,7,5.34
اسدشاپ,1819,97,5.33
دیباست,75,4,5.33
گلیش,529,28,5.29
روجامد,95,5,5.26
میرور شاپ,38,2,5.26
کارنسی,38,2,5.26
آلیند,38,2,5.26
تحریرام,38,2,5.26
