seller,total_products,fake_count,fake_percent
کمپینگ شاپینگ,33,0,0.0
کوآلا شاپ,70,0,0.0
کوئیلنا,45,0,0.0
کوثر استور,169,0,0.0
کودک پارسی,44,0,0.0
هنر آنتیک,42,0,0.0
هنر اسپادانا,28,0,0.0
هنر گستر,260,0,0.0
هنرکده آریا آرت,97,0,0.0
هنرکده ناب,30,0,0.0
هنری شو,258,0,0.0
هوتشت,59,0,0.0
هورتن,29,0,0.0
هوم کالای ایرانیان,20,0,0.0
هوم کیچن,52,0,0.0
هیاهو مام کیدز,443,0,0.0
والاپوش,420,0,0.0
وانیا هنر,73,0,0.0
ورشوگالری,22,0,0.0
ورگن,59,0,0.0
ورلد لیزر,32,0,0.0
واچوک,35,0,0.0
وقت خرید خوب,37,0,0.0
کارگاه فن و هنر,32,0,0.0
کارگذاری جنوب,44,0,0.0
کارما سیستم,63,0,0.0
کاروانا شاپ,206,0,0.0
ویرا آونگ رسام,31,0,0.0
ویرا بردگیم,20,0,0.0
ویرمان,101,0,0.0
ویفا توریست کمپ,24,0,0.0
ویم برتر,44,0,0.0
ویمی,159,0,0.0
ویوات کالکشن,157,0,0.0
ویولا رز,282,0,0.0
کاجینه,39,0,0.0
کار بازی,24,0,0.0
هامان شاپ,28,0,0.0
هامتو کو,122,0,0.0
هالو بیوتی,164,0,0.0
نیلی و ایندیگو,87,0,0.0
نیهال کلودز,20,0,0.0
نیومد,24,0,0.0
نیکان تجارت هاشمی,54,0,0.0
نیل کوک,187,0,0.0
نی نی سیس,30,0,0.0
هلن,26,0,0.0
همانام,23,0,0.0
هرمد استور,92,0,0.0
هزار و هشتصد و شصت ,21,0,0.0
هسکا مارکت,20,0,0.0
هلدینگ داهال,67,0,0.0
هایپر لند,586,0,0.0
هایلند طب,74,0,0.0
هاناز,36,0,0.0
هانستو,289,0,0.0
هانی شو,24,0,0.0
هاوار شاپ,39,0,0.0
تابلو سازی خاتم,94,0,0.0
تامین کالای تهرانی,76,0,0.0
تجهیزات پزشکی کیمیا,44,0,0.0
تچر,64,0,0.0
تحریر پارسه,50,0,0.0
تحریر قلمستان,33,0,0.0
تحریر ماهان,102,0,0.0
تحریر هلیا,78,0,0.0
تایم کلاک,31,0,0.0
تپل تیپ,45,0,0.0
تجارت بهراد,45,0,0.0
تجارت گستر جنوب,49,0,0.0
تجارت لوازم تحریر ,39,0,0.0
تجارت کارن,31,0,0.0
تجهیز کارا,20,0,0.0
تن پوش مارکت,24,0,0.0
تهران دکور,46,0,0.0
توربان رویا,92,0,0.0
توسعه الکترونیک گردو ,133,0,0.0
توسعه خیلی سبز,62,0,0.0
توسعه و تجارت بهاری,362,0,0.0
تولید پوشاک زیر آوین,26,0,0.0
تایتان گروپ,21,0,0.0
تایلومیک,140,0,0.0
تعالی,45,0,0.0
تقارن,21,0,0.0
ترابی گالری,268,0,0.0
ترانه,30,0,0.0
ترمه اسطوره,22,0,0.0
ترنج فردوس,20,0,0.0
ترواگالری,20,0,0.0
جهان رایانه,119,0,0.0
جوراب بارلی,83,0,0.0
جماعت,162,0,0.0
جنتلمن گالری,43,0,0.0
جنگل رز,58,0,0.0
تیما سنتر,98,0,0.0
تین بانی,212,0,0.0
تیهو گالری,293,0,0.0
تیک پوشاک,24,0,0.0
تیکا,95,0,0.0
تیکال,31,0,0.0
تولیدی آغوش,93,0,0.0
تولیدی پدر,24,0,0.0
تولیدی سنتی اصفهان,64,0,0.0
جامبو,539,0,0.0
جانبی پخش دیجیتال,57,0,0.0
جانبی لارا,41,0,0.0
جاویدان تندیس پرگاس,196,0,0.0
جرمن مارکت,369,0,0.0
جزیره نقره,66,0,0.0
پامبیق,21,0,0.0
پاندا گیمز,40,0,0.0
پاندوسا,23,0,0.0
پاویژ,150,0,0.0
پارسیان کتاب,23,0,0.0
پارسینه تجارت دیانا,152,0,0.0
پارلا پلاس,59,0,0.0
پارمیدا تویز,229,0,0.0
پارمیس کالا,83,0,0.0
پخش پلاس,45,0,0.0
پخش ترک,107,0,0.0
پخش چرم سون,53,0,0.0
پخش چیتگر,30,0,0.0
پخش خرازی ماهور,39,0,0.0
پخش رامین,36,0,0.0
پخش روشنا,23,0,0.0
پخش شین,21,0,0.0
پخش نقش جهان,123,0,0.0
پرسون داریا,76,0,0.0
پدیدار آوا,264,0,0.0
پرشین پرفیوم,26,0,0.0
پرگاس گالری,93,0,0.0
پریا گالرین,77,0,0.0
پخش پدیده,52,0,0.0
پخش هزاردستان,54,0,0.0
پخش کالا رستا,45,0,0.0
پخش آرکا مارکت,366,0,0.0
پایار تجارت,88,0,0.0
پزشکی زیبایی پاشا,75,0,0.0
پطروس,34,0,0.0
پلتفرم سکو,30,0,0.0
پوزیدون شاپ,24,0,0.0
پوشاك بچگانه گلچين بهاران,22,0,0.0
پوشاک مدی,28,0,0.0
پوشاک ساروک,320,0,0.0
پوشاک گوگولی ها,229,0,0.0
پوشاک لانا,54,0,0.0
پیشگامان تحریر,30,0,0.0
پیشروگستران,421,0,0.0
پیشگام تجارت پارسه کیش,25,0,0.0
پیکسل میکسل,127,0,0.0
پینک شاپ کیتی,27,0,0.0
پینک کیدز,200,0,0.0
پویاکالا,20,0,0.0
پولاک سنتر,53,0,0.0
پولکادات,315,0,0.0
پونی کوچولو,39,0,0.0
دیزاس,24,0,0.0
دیسک چوبی شازده,51,0,0.0
ذاریات,344,0,0.0
رابین گالری,84,0,0.0
رایا افزار,20,0,0.0
رایکا,22,0,0.0
رحان,27,0,0.0
رخ پرداز,102,0,0.0
رخ پلاس,78,0,0.0
رخشان استور,36,0,0.0
رادکس گالری,550,0,0.0
رادین طب,20,0,0.0
رارا کیدز,20,0,0.0
راز مارکت,38,0,0.0
رازآور,244,0,0.0
راسکال,340,0,0.0
دهسرا,65,0,0.0
دهکده باتیس,167,0,0.0
دی جانبی شاپ,488,0,0.0
دیاموند بلک,250,0,0.0
دیاموند شاپینگ,27,0,0.0
دورا,21,0,0.0
دکتر ضی,92,0,0.0
دکتر موزیکال,20,0,0.0
دکتر یکتا,79,0,0.0
دکمه آنلاین,58,0,0.0
دکوراتیو آرکیا,61,0,0.0
دکوراسیون داخلی رویال,20,0,0.0
دکوری آفتاب ,67,0,0.0
زرد چوبه,36,0,0.0
زیتا,22,0,0.0
زیرآرا,161,0,0.0
زیورآلات ملک پور,142,0,0.0
زیورالات مهدعلیا,22,0,0.0
زرسام,128,0,0.0
زرنگار,24,0,0.0
زرین برکت,34,0,0.0
زگماک,34,0,0.0
زگنا گالری,26,0,0.0
زمانی,36,0,0.0
روشا گالری نیوشا,84,0,0.0
روزکتاب,53,0,0.0
رویا کاغذی,101,0,0.0
رویاهای مدادی ,27,0,0.0
رویای آرمانی,175,0,0.0
رزین نوین,24,0,0.0
رسپینا بیوتی,133,0,0.0
رستاک گستر ایران,29,0,0.0
رضی واکس,35,0,0.0
رلو آرت,24,0,0.0
رز گالری,203,0,0.0
دانش پژوهان جوان,38,0,0.0
چرم بارثاوا,118,0,0.0
خانه فرش,44,0,0.0
خانه هیجان,87,0,0.0
خانه کتاب و بازی,320,0,0.0
خبرگان تجارت,66,0,0.0
خرد و اندیشه,1442,0,0.0
خواب سینا,78,0,0.0
خورشید استار,248,0,0.0
خوشه چین کالا,44,0,0.0
خیابان بوک,50,0,0.0
خیام طب,25,0,0.0
داروخانه آپویت,59,0,0.0
داروخانه اکسپرس,29,0,0.0
در دونه,58,0,0.0
درخشش رنگ,25,0,0.0
درگهان سنتر,74,0,0.0
درواژ,29,0,0.0
دست سازهای ام بی,37,0,0.0
دستچین کالا,428,0,0.0
دفینه شاپ,32,0,0.0
دلسازها,28,0,0.0
دلیل ما,421,0,0.0
دمیلو,133,0,0.0
دانی شاپ,24,0,0.0
دانیار مارکت,99,0,0.0
دایان تجارت نوین,31,0,0.0
چرم کوثر,51,0,0.0
چرمینه اسپرت,52,0,0.0
چشمه,28,0,0.0
چلیپا گروپ,62,0,0.0
چهارشنبه بازار,33,0,0.0
چوب ارا,28,0,0.0
چوب های آبرنگی,24,0,0.0
چوبچی,79,0,0.0
چوبینه هفت دریا,35,0,0.0
چی کالا,52,0,0.0
چاپ پاییزان,87,0,0.0
چاپ زیبا,970,0,0.0
چاربیت,47,0,0.0
چرخ و فلک,51,0,0.0
چرم آرا,307,0,0.0
چرم ادلیا,30,0,0.0
چرم اوال,34,0,0.0
چرم شاپرک,60,0,0.0
چرم گیال,34,0,0.0
چرم لوکا,39,0,0.0
چرم و چوب برساد,20,0,0.0
حامی بوک,21,0,0.0
حبه,34,0,0.0
حس برتر,64,0,0.0
حوله ایدین,45,0,0.0
خاتمستان,53,0,0.0
خاتون استور,1144,0,0.0
خانم کوچولو,46,0,0.0
خانه چرم آنا,25,0,0.0
خانه سفيد,22,0,0.0
بازرگانی فراک,53,0,0.0
بازرگانی مشایخ,750,0,0.0
بازرگانی نکو,48,0,0.0
بازرگانی وثوقی,73,0,0.0
بازار افرا,25,0,0.0
بازار دهکده,70,0,0.0
بازار کاغذ ایران,82,0,0.0
بازرگانی اکسون,305,0,0.0
بازرگانی بچه مرشد,29,0,0.0
بازرگانی پانیس,27,0,0.0
بازرگانی جیکل,142,0,0.0
بازرگانی حاجی علیان,31,0,0.0
بازرگانی دیبا تک,275,0,0.0
بازرگانی رایان رایحه,31,0,0.0
ایرسا بیوتی شاپ,67,0,0.0
ایرن شاپ,44,0,0.0
ایرکوک,128,0,0.0
ایلیا سهند,23,0,0.0
اینترنتی دنیای کودک,28,0,0.0
اینجا همچی گلچینه,34,0,0.0
باباریا,262,0,0.0
باباشا,144,0,0.0
بادخان,204,0,0.0
باران رخ,20,0,0.0
باربریس,63,0,0.0
بارلینا شاپ,169,0,0.0
اکسسوری الارز,59,0,0.0
ایران ایتالی,20,0,0.0
ایران کتاب نوین,220,0,0.0
ایران کده,130,0,0.0
اکسسوری زرق و برق,23,0,0.0
اکسسوری ماجان,26,0,0.0
اکسسوریسیتی,3408,0,0.0
اکو تولز,92,0,0.0
اورانوس پخش,188,0,0.0
اورجینال اوژین,29,0,0.0
اوریران,72,0,0.0
اورین کو,27,0,0.0
اوسر,29,0,0.0
ام مارکت,180,0,0.0
امیر پاسارگاد,27,0,0.0
الی سرگل,35,0,0.0
الراد گالری,65,0,0.0
السا پخش,323,0,0.0
الف با,186,0,0.0
الماس آذر سبزینه,69,0,0.0
الماس امیران,22,0,0.0
الماس هنر ایران,43,0,0.0
النا بیوتی,53,0,0.0
الناز دست سازه,21,0,0.0
بنی دکو,558,0,0.0
بنسر,105,0,0.0
بهاشاپ,43,0,0.0
بهراد تابش,150,0,0.0
بهشاد تویز,44,0,0.0
بهشت آباد,66,0,0.0
بوستان امید,338,0,0.0
بوفه کتاب,25,0,0.0
بومی و محلی لوبلی,295,0,0.0
بوکلا,27,0,0.0
بوکم,20731,1,0.0
بوکیدز,688,0,0.0
بی اکسلنت,70,0,0.0
بی همتا مارکت,651,0,0.0
بیتا کارن,57,0,0.0
بوژان آرا,32,0,0.0
بیوتی گراف,22,0,0.0
بیوتی وومن,109,0,0.0
بیوتی وونت,145,0,0.0
بیکینگ,22,0,0.0
پارچه سرای مانا,59,0,0.0
بوتیک مد,31,0,0.0
به کالا,53,0,0.0
بیلسی اسپرت,21,0,0.0
بقا در طبیعت,36,0,0.0
بگونیا,30,0,0.0
بلوط شاپ آنلاین,100,0,0.0
بلوط لدر,28,0,0.0
بلک تام کت,325,0,0.0
برین تجارت پادیاو,70,0,0.0
بست بوک,96,0,0.0
برند سلین کالا,768,0,0.0
برترکالا,149,0,0.0
برزین کالا خانگی,25,0,0.0
برگ و باد,100,0,0.0
برگزیده برتر,23,0,0.0
بازی ساز فرهنگ,20,0,0.0
باغ کتاب ایران,381,0,0.0
بافت رنگین,22,0,0.0
بافت رنگینک,23,0,0.0
بالست,23,0,0.0
بالمی لایف,232,0,0.0
بالهای کاغذی,75,0,0.0
بانک کتاب ناهید,61,0,0.0
بای تیک,61,0,0.0
بانو استایلیش,44,0,0.0
بانومد,33,0,0.0
اطلس آبی,6067,0,0.0
اطلس مد,216,0,0.0
افق استور,41,0,0.0
اقای تحریر,64,0,0.0
اسپیروما,27,0,0.0
اسپیور,24,0,0.0
استار کمپ,331,0,0.0
استارنت,22,0,0.0
استاویتا,198,0,0.0
استتی سیزمو,36,0,0.0
استقبال,81,0,0.0
استودیو موزیک,32,0,0.0
استودیو میکاپ,91,0,0.0
استودیو میکاپ ایران,167,0,0.0
استودیو هنر کاژه,30,0,0.0
اسلایم توپولی,136,0,0.0
انتشارات بعثت,219,0,0.0
انتشارات پی بوک,126,0,0.0
انتشارات پیام مهرعدالت,675,0,0.0
انتشارات حک,23,0,0.0
انتشارات زرین و سیمین,48,0,0.0
انتشارات صفار,137,0,0.0
انتشارات قدیانی,219,0,0.0
انتشارات مهر پاینده,20,0,0.0
انتشارات نرم افزاری افرند,61,0,0.0
انتشارات نور گیتی,81,0,0.0
انتشارات کاردستی,266,0,0.0
انتشارات کتاب نارنجی,51,0,0.0
انتشارات یاس بهشت,277,0,0.0
اندیشه بدیع,38,0,0.0
انگشترکام,27,0,0.0
آنیساکالا,29,0,0.0
آونر,176,0,0.0
آویژه صنعت,97,0,0.0
آکاژو استور,81,0,0.0
آوا رز,85,0,0.0
آوا زمان گالری,403,0,0.0
آواگراف,110,0,0.0
آنکادر,21,0,0.0
آلور استور,24,0,0.0
اریگامی لند,22,0,0.0
از خانه,24,0,0.0
اس ای گییرز,94,0,0.0
ارزان تامین,58,0,0.0
ارسال,67,0,0.0
ارشد,59,0,0.0
اركان,29,0,0.0
اترنال بیوتی پلاس,47,0,0.0
اتم گالری,41,0,0.0
آیریک مارکت,50,0,0.0
اچ مد,413,0,0.0
ارایشی آرمان,33,0,0.0
 گلاک,195,0,0.0
 گیتا,58,0,0.0
 شاپ حاتم,227,0,0.0
 فرشتگان,370,0,0.0
 فروشگاه عرب,53,0,0.0
 آصام پلاس,433,0,0.0
 آلماپرایم سپه,21,0,0.0
  کنکاش,79,0,0.0
 آرتام,27,0,0.0
 المپیا تولز,270,0,0.0
 بیبی ماه,25,0,0.0
 پیشگام هنر,94,0,0.0
آراهنر,39,0,0.0
آراکالا,29,0,0.0
آرایشی بهداشتی دومان,94,0,0.0
آرایشی پوپر,538,0,0.0
آرایشی سفید برفی,81,0,0.0
آرایشی نیلوفر,76,0,0.0
آرایشی و بهداشتی نفس اا منطقه آزاد ماکواا,148,0,0.0
 کتاب روز,226,0,0.0
 کهنمو شاپ,80,0,0.0
 یارا,20,0,0.0
آبادشت,41,0,0.0
آتلیه آرت,25,0,0.0
آتم,23,0,0.0
آرتیمیکو,20,0,0.0
آرشا آرت,568,0,0.0
آدلیتا,188,0,0.0
آدنو,44,0,0.0
آذر فرش,436,0,0.0
آذین مهر,31,0,0.0
آرادشاپ,37,0,0.0
آرنیکا رزین گالری,104,0,0.0
آرونیا تویز,135,0,0.0
آرکی,31,0,0.0
آریا پروشاپ,37,0,0.0
آریان تجهیزراد,122,0,0.0
آریانا گالری,106,0,0.0
آرین سامان,20,0,0.0
آقای ست,129,0,0.0
آرمانی کارت,21,0,0.0
آسا درمان,30,0,0.0
آسمان شهر,113,0,0.0
آمیتیس شاپینگ,62,0,0.0
آنا تویز,30,0,0.0
آناشید خیال,49,0,0.0
آلارز کازمتیک,22,0,0.0
آلتین کتاب,40,0,0.0
تهرانی هوم,39,0,0.0
توریست کمپینگ,37,0,0.0
تهران استور,80,0,0.0
تولید و پخش ایران زمین,178,0,0.0
تولید ساز های موسیقی فیدا,27,0,0.0
تولیدی آرامش سازان خلج,20,0,0.0
تولیدی آرمان تویز,21,0,0.0
تولیدی آلفا,183,0,0.0
تولیدی ایران زمین,20,0,0.0
تبریکان,663,0,0.0
تجارت الکترونیک الوند,335,0,0.0
تجارت گستر ایرانیان,60,0,0.0
تجارت گستر پیام,24,0,0.0
تجهیزات پزشکی ونوس,30,0,0.0
تجهیزات ری,23,0,0.0
تحریر پلاس,36,0,0.0
تحریر سنتر ایفل,21,0,0.0
تامارین,41,0,0.0
ترنه استایل,70,0,0.0
تروفو روم,108,0,0.0
تصفیه آب خانگی نور,143,0,0.0
پرنگ,25,0,0.0
پرنيان كتاب,97,0,0.0
پرشین سیلور,244,0,0.0
پخش یامور,30,0,0.0
پدیا سافت,702,0,0.0
پرایوت بوتیک,143,0,0.0
پرتی,510,0,0.0
پرواز پرستوها,91,0,0.0
پروشات تم,23,0,0.0
پرنیان شاپ,83,0,0.0
پوشاک ام دی,23,0,0.0
پوشاک زنانه فدورا,27,0,0.0
پوشاک زیر مادام,62,0,0.0
پوشاک طائمه,31,0,0.0
پرینتینگ لند,188,0,0.0
پزشکی مهر,47,0,0.0
پوشاک نارنج,115,0,0.0
پوشیکا شاپ,132,0,0.0
پی کی تحریر,37,0,0.0
پیتایا,145,0,0.0
تاباتا,69,0,0.0
پینک لیدی,161,0,0.0
پینکو کالا ,218,0,0.0
تاشرنگ,25,0,0.0
تاپ قاب,68,0,0.0
تارا اسپا,21,0,0.0
توی موی,38,0,0.0
تکاب فیلتر,532,0,0.0
تیرانامس,23,0,0.0
تولیدی بازرگانی جم ویژن راه نیک,65,0,0.0
تولیدی پنبینه,1291,0,0.0
تولیدی تکوین,67,0,0.0
تولیدی رز,37,0,0.0
تولیدی صفائی,150,0,0.0
جلوه دلدار,44,0,0.0
جهان ارا,20,0,0.0
جهانی نو,37,0,0.0
جامیران,86,0,0.0
جانبی زوم بازار,34,0,0.0
جانرابر شاپ,107,0,0.0
ثارنگ,206,0,0.0
ثمین یار,128,0,0.0
ثنابانو,29,0,0.0
جاسمین گالری,39,0,0.0
تیک تات,20,0,0.0
تیکا مارکت,30,0,0.0
تیکو پلاس,35,0,0.0
چرم آرسیس,52,0,0.0
چرم آی مد,27,0,0.0
چرم تابا,29,0,0.0
چرم جانتا,23,0,0.0
چاپ هزاردستان,77,0,0.0
چاپ آلفا,32,0,0.0
چاپ پارس مشهد,194,0,0.0
جوینده دانش,35,0,0.0
جی 5,40,0,0.0
جیبی بوک,164,0,0.0
چرم طبیعی منط,149,0,0.0
چرم عطارد,172,0,0.0
چرم نگار,69,0,0.0
چرم یلسان,271,0,0.0
چسبچی,120,0,0.0
چشمک کالا,33,0,0.0
حامی بازار,175,0,0.0
حجاب فاطمی,86,0,0.0
حجاب نگارا,56,0,0.0
حراب,58,0,0.0
حراجی ضامن,64,0,0.0
حری را ,46,0,0.0
حصار چال,21,0,0.0
دیجیتال الکترا,20,0,0.0
دیزاین کده,32,0,0.0
دیس نایت,38,0,0.0
دینا و ماه,76,0,0.0
دیوارکوب جذاب من,89,0,0.0
دیوید جونز ایران,135,0,0.0
ذوزنقه استور,40,0,0.0
رایکا برازش,55,0,0.0
رادمه تجارت,23,0,0.0
راستین,113,0,0.0
رامان هوم,21,0,0.0
راه پرداخت,21,0,0.0
رایان مدیکا,143,0,0.0
رایحه پارسیان,87,0,0.0
دنیز مارکت,376,0,0.0
دور آل,79,0,0.0
دورنا شاپ,60,0,0.0
دومیلون,384,0,0.0
دلگان,183,0,0.0
دلورا,276,0,0.0
دلی تراریوم,66,0,0.0
دنیای برچسب و تحریر,26,0,0.0
دنیای سرگرمیهای کمیاب,542,0,0.0
دنیای سلامت ماهان,28,0,0.0
دنیای شیرین نبات,120,0,0.0
درجه یک,136,0,0.0
دریادشت,108,0,0.0
دریان سهند,48,0,0.0
دریم تل,26,0,0.0
دزیره مال,445,0,0.0
دست ساز های قاصدک,32,0,0.0
دست نگار,354,0,0.0
دستبافت های خاله لیلا,195,0,0.0
دگرمان,44,0,0.0
دارمین,53,0,0.0
دارینا لوکس,124,0,0.0
دانشگاهی فرهمند,276,0,0.0
دانکالا,206,0,0.0
در دانه,65,0,0.0
چکاد پخش,34,0,0.0
چیک کالا,20,0,0.0
داتیس مارکت,149,0,0.0
چوب و تحریر آرمون,67,0,0.0
چوب کو,97,0,0.0
چرم کرمانی,189,0,0.0
خانه چرم تبریز,150,0,0.0
خانه موکشا,24,0,0.0
خانه کتاب ایران,44,0,0.0
خشکبارآروند,167,0,0.0
خط هنر,74,0,0.0
خلیج,98,0,0.0
خوشگل موشگل,29,0,0.0
خوشمزه های خانگی جاجا,46,0,0.0
خیام بوک,157,0,0.0
دابکو,208,0,0.0
ساز موسیقی,159,0,0.0
ساسویه,91,0,0.0
ساعت بیست,20,0,0.0
زیورآلات حنا خانوم,44,0,0.0
زیورالات چوبی بهراد,37,0,0.0
ژاندارگ,135,0,0.0
ژاویا,64,0,0.0
ژرمن سنتر,27,0,0.0
ژوبلین رژ,117,0,0.0
ژولی,739,0,0.0
ژینوس بیوتی,126,0,0.0
ژیوار,245,0,0.0
سراج احسان,27,0,0.0
ستیلا استور,26,0,0.0
سجاوود,31,0,0.0
سانل چوب,48,0,0.0
ساوان بیوتی,71,0,0.0
ساوین سرویس,62,0,0.0
سارمیس,20,0,0.0
سام بیوتیک سنتر,21,0,0.0
سام و نرگس,45,0,0.0
سان بایت,25,0,0.0
روبو بیوتی,139,0,0.0
روبویونیک شاپ,53,0,0.0
روپا,184,0,0.0
رز کلین,32,0,0.0
رزا بیوتی,24,0,0.0
رزدارو,393,0,0.0
رزگلد شادراج آرونیکا,107,0,0.0
رسپی نانو ریما,47,0,0.0
رشن گالری,25,0,0.0
رفیق,35,0,0.0
رنگ دونه,99,0,0.0
رنگ سرخ,43,0,0.0
رنگارنگ بهاران,45,0,0.0
ره اورد,138,0,0.0
روحبخش مارکت بومی,485,0,0.0
روزن بوک,117,0,0.0
روماک,66,0,0.0
رهامه گالری,258,0,0.0
رویال پژواک,21,0,0.0
زمانه,90,0,0.0
زود دارو,32,0,0.0
زیبارویان روژان,33,0,0.0
رویای گلبرگ خاطره,40,0,0.0
ریبن مارکت,40,0,0.0
زروان واچ,39,0,0.0
زرکات,191,0,0.0
بازرگانی مدرسی,118,0,0.0
بازرگانی فاکس,28,0,0.0
بازرگانی نائیجی,279,0,0.0
بازرگانی یزدان پارت,130,0,0.0
بازی  اسباب  آیدا,72,0,0.0
بازی شاپینگ,31,0,0.0
باستیان گالری,986,0,0.0
بازرگانی آف,105,0,0.0
بازرگانی ارکیده,88,0,0.0
بازرگانی اریکا,142,0,0.0
بازرگانی پارسیان ایرانیان,237,0,0.0
بازرگانی تجارت خاورمیانه,24,0,0.0
بازرگانی خوشه چین,87,0,0.0
بازرگانی دومان,111,0,0.0
بازرگانی راه ابریشم,172,0,0.0
بازرگانی  معتمد,23,0,0.0
بازرگانی آپوار,20,0,0.0
بارااستور,47,0,0.0
باراد زر,1057,0,0.0
باراد و راتین,680,0,0.0
بارادانا,90,0,0.0
باران طب,23,0,0.0
بازار ارزوها,39,0,0.0
ایلاتی,57,0,0.0
ایمرامدا,155,0,0.0
اکسسوری غرب,38,0,0.0
ای هایپرمارکت,34,0,0.0
ایدن گاردن,83,0,0.0
ایدو موزیک,134,0,0.0
ایران اسپرت شاپ,22,0,0.0
ایران زمین شاپ,46,0,0.0
ایران ژیلت,35,0,0.0
ایران گستر تهران,26,0,0.0
ایران نویان,30,0,0.0
ایرانگرد,302,0,0.0
ایفوریا گالری,210,0,0.0
اشراقی,59,0,0.0
اگمنت,31,0,0.0
النترا,33,0,0.0
الکترونیک هوم,22,0,0.0
اودینه,206,0,0.0
اوراش تویز,93,0,0.0
اورج سنتر,22,0,0.0
بهار کتاب,170,0,0.0
بنفش صورتی,37,0,0.0
بنو پخش,36,0,0.0
بنیسا,48,0,0.0
به پخش نوین,65,0,0.0
به دوست,161,0,0.0
بیزآرت مارکت,39,0,0.0
بیگای استودیو,51,0,0.0
بیوتی برکه,55,0,0.0
بیوتی بلندر مرکزی,23,0,0.0
بیوتی جت,26,0,0.0
بهکامان صبا,156,0,0.0
بهین مدیا,26,0,0.0
بوک آشام,503,0,0.0
برزمهر,122,0,0.0
برگزیده یاس,36,0,0.0
برمن,87,0,0.0
برندس استور ,186,0,0.0
برنز ارم,110,0,0.0
برنس,109,0,0.0
برکت ناب,85,0,0.0
بلغاری,28,0,0.0
بانو نوین,23,0,0.0
باهر شاپ,145,0,0.0
باکس تویز,50,0,0.0
بایتک,24,0,0.0
باینت,273,0,0.0
براتو,88,0,0.0
برایت مون,22,0,0.0
برد و باخت,109,0,0.0
پارلاما,22,0,0.0
پازل چین,40,0,0.0
پاس اسپرت,58,0,0.0
پالادیوم مارکت,147,0,0.0
بی همتا دست دوز,30,0,0.0
پادرینا,182,0,0.0
پارچه مبلی آیوار,31,0,0.0
پارس بوک,30,0,0.0
پخش بهین گستر روشا,113,0,0.0
پخش بینود,27,0,0.0
پخش پارس نوین اهواز,152,0,0.0
پخش پارمیدا,20,0,0.0
پایتی جامه,36,0,0.0
پاییز,53,0,0.0
پاییزانه,173,0,0.0
پخش اورین,79,0,0.0
پخش دنیز,50,0,0.0
پخش سایه,33,0,0.0
پخش شاهکار,128,0,0.0
پخش لاواری,159,0,0.0
پخش مبین,291,0,0.0
پخش معاصر,523,0,0.0
پخش نمایندگی الماس,72,0,0.0
پخش و بازرگانی وحید,125,0,0.0
استودیو هنری مریم,97,0,0.0
استریمو,205,0,0.0
استریو تومبا,2841,0,0.0
اسپست,21,0,0.0
اسپنکوژل,22,0,0.0
استراتوس کازما,46,0,0.0
اف بی کالا,37,0,0.0
افراتین,127,0,0.0
افق تهران,52,0,0.0
اسکمی,88,0,0.0
الیزابت,28,0,0.0
امشاسپند,22,0,0.0
انتشارات آرازبیکران,100,0,0.0
انتشارات آوینا قلم,34,0,0.0
انتشارات دیباگران تهران,116,0,0.0
انتشارات شولا,90,0,0.0
انتشارات طلایی,3845,0,0.0
انتشارات موثر  ,34,0,0.0
انتشارات نامه مهر,112,0,0.0
انتشارات نسل روشن,398,0,0.0
انتشارات هلیا,28,0,0.0
انوش گالری,34,0,0.0
اهورا تحریر,154,0,0.0
اهورا مهر شایان,55,0,0.0
اهورامهر,25,0,0.0
آکو استور,79,0,0.0
آوا پات,76,0,0.0
آینده کتاب,322,0,0.0
آیهان بوتیک,36,0,0.0
ا و  ,22,0,0.0
ابزار آوا,25,0,0.0
آنالینا شاپ,44,0,0.0
آنیسان,42,0,0.0
آسابست ماني,41,0,0.0
آسان پوش پدیده,28,0,0.0
آسمان علم,190,0,0.0
اسپادان هوم,72,0,0.0
ارمیا کالا,40,0,0.0
ارنیک شاپ,20,0,0.0
اریا الماس,25,0,0.0
اریایی,85,0,0.0
اس بی ام,27,0,0.0
اسباب بازی دانیال,35,0,0.0
ارزان سرای رحیم پور,43,0,0.0
ارزانسرای تیتان,24,0,0.0
ارمغان بوک,91,0,0.0
اچ آر دیزاین,100,0,0.0
ادویه جات حامی,692,0,0.0
ادویه کلبه,95,0,0.0
ارایشی مولان,241,0,0.0
ارتامن,131,0,0.0
آذین گرجی,31,0,0.0
آراسیلا,111,0,0.0
آذرخش پرتو,28,0,0.0
آرایشی بانه,30,0,0.0
آرایشی تجسم,29,0,0.0
آرایشی و بهداشتی جزیره یک,25,0,0.0
آرت بوک,111,0,0.0
آرسام تحریر,147,0,0.0
آرمان چرم تهران,35,0,0.0
آروین بیوتی,130,0,0.0
آريدال,95,0,0.0
آرکا استور,35,0,0.0
آرم پوش,51,0,0.0
آرام طب,41,0,0.0
آرامیش,35,0,0.0
آغاز کتاب,236,0,0.0
آفتاب درخشان خاورمیانه,20,0,0.0
آگرین کتاب,31,0,0.0
آلا بیبی شاپ,76,0,0.0
آلتین آی,129,0,0.0
آلما مد,150,0,0.0
آلمان مارکت,240,0,0.0
آلمانو,59,0,0.0
آلیزارین,148,0,0.0
آریان لوکس,155,0,0.0
آریان لوکس پلاس,21,0,0.0
آریاکار,31,0,0.0
آرین بیوتی,259,0,0.0
آژند تجارت,21,0,0.0
آژندگالری,27,0,0.0
